FECHA,HORA ,DIRECCION,Severidad,FALLECIDOS,HERIDOS
11/1/2024,21:41:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E39A VÍA PORTOVIEJO HACIA SOSOTE",GRAVE,0,3
12/1/2024,20:15:00,"RED VIAL ESTATAL E-39A SENTIDO PORTOVIEJO HACIA CRUCITA,",GRAVE,0,1
14/1/2024,16:13:00,VIAL ESTATAL E-39A SENTIDO PORTOVIEJO HACIA CRUCITA.,LEVE,0,0
25/1/2024,16:48:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E39A VÍA PORTOVIEJO HACIA SOSOTE",FATAL,1,1
10/2/2024,04:30:00,RED VIAL ESTATAL E-39A SENTIDO CRUCITA HACIA  PORTOVIEJO,GRAVE,0,1
12/2/2024,17:30:00,RED VIAL ESTATAL E-39A SENTIDO PORTOVIEJO HACIA CRUCITA.,GRAVE,0,1
28/2/2024,12:30:00,RED VIAL ESTATAL E-39A SENTIDO PORTOVIEJO HACIA CRUCITA.,LEVE,0,0
2/3/2024,03:16:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E39A VÍA SOSOTE HACIA PORTOVIEJO",FATAL,1,0
7/3/2024,21:35:00,RED VIAL ESTATAL E-39A PORTOVIEJO   HACIA  CRUCITA.,GRAVE,0,2
8/3/2024,12:50:00,RED VIAL ESTATAL E-39A SENTIDO CRUCITA HACIA PORTOVIEJO.,GRAVE,0,2
12/3/2024,13:00:00,"RED  VIAL ESTATAL  E- 39A SENTIDO PORTOVIEJO HACIA CRUCITA, CARRIL IZQUIERDO",GRAVE,0,2
16/3/2024,10:28:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E39A VÍA SECTOR MEJÍA HACIA SOSOTE",GRAVE,0,1
19/3/2024,12:03:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E39A VÍA SOSOTE HACIA REDONDEL DE BUENOS AIRES",GRAVE,0,2
30/3/2024,23:00:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E-39A VÍA SECTOR MEJÍA HACIA SECTOR SOSOTE",GRAVE,0,1
7/4/2024,07:10:00,"RED VIAL ESTATAL E-39A  VÍA ROCAFUERTE HACIA CRUCITA, ",GRAVE,0,1
30/4/2024,12:30:00,"CANTÓN PORTOVIEJO, RED VIAL ESTATAL E-39A VÍA REDONDEL DE LA ABUNDANCIA HACIA SOSOTE",LEVE,0,0
23/5/2024,10:40:00,RED VIAL ESTATAL E-39A VÍA CRUCITA HACIA PORTOVIEJO FRENTE AL RESTAURANTE EL TOMATE.,GRAVE,0,1
28/5/2024,11:20:00,RED VIAL ESTATAL E-39A DESDE CRUCITA  HACIA PORTOVIEJO.,FATAL,1,0
